cut,scene_file,shot_type,controlnet,characters,sd_prompt
CUT001,scene01.md,solid_color,none,なし,"Static full black frame, no camera movement, no layout change. Add only a subtle film-grain noise texture that drifts almost imperceptibly, like rain static on a dark screen. Do not introduce any light, shape, or character. Minimal, restrained motion only, anime style, key visual color grading, cinematic lighting"
CUT002,scene01.md,environment_only,none,なし,"Fixed wide shot, distant night cityscape in rain, camera locked. Keep composition, layout, and background exactly as the first frame. Animate only the lit windows of a distant train sliding horizontally across the lower third of the frame at a slow, constant speed. Do not move the camera, do not add extra lights or characters, anime style, key visual color grading, cinematic lighting"
CUT003,scene01.md,environment_only,none,なし,"Fixed close-up on a pedestrian signal light in the rain, shallow depth of field, foreground raindrops blurred. Keep framing, lens, and background locked. Animate only: the signal icon blinking on/off at a steady slow rate, and a few blurred foreground raindrops sliding down very slightly. No camera motion, no new elements, anime style, key visual color grading, cinematic lighting"
CUT004,scene01.md,character_pose_needed,openpose,陽の足元のみ（シルエット、顔は見せない）,"Fixed low-angle shot of a foot stepping into a puddle on wet pavement at night, camera locked, composition unchanged. Animate only: the ripple spreading from the footstep, and the overall image brightness lifting very slowly from near-black to a dim visible state, as if the picture is slowly emerging from darkness. Do not add camera movement, do not reveal the character's face, anime style, key visual color grading, cinematic lighting"
CUT005,scene02.md,character_pose_needed,openpose,陽、画面奥に小さく登場,"Fixed wide high-angle shot of a shuttered shopping arcade in the rain at dusk, cool blue-violet palette. Keep layout, composition, and background locked. Animate only the falling rain and a tiny distant human figure walking at a slow constant pace. No camera movement, anime style, key visual color grading, cinematic lighting"
CUT006,scene02.md,character_pose_needed,openpose,陽（制服、閉じた透明傘を持つ）,"Fixed side-angle medium shot of a boy in a school uniform walking with a closed transparent umbrella in the rain, backlit rim light, anime style, key visual color grading, cinematic lighting"
CUT007,scene02.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽（髪・肩のみ）,"Fixed extreme close-up on wet hair and shoulder, shallow depth of field, warm rim light from a low angle. Keep framing and lighting locked. Animate only a single raindrop trailing down a strand of hair. No camera movement, no additional elements, anime style, key visual color grading, cinematic lighting"
CUT008,scene02.md,hand_insert,depth (optional),陽の手のみ,"Fixed macro insert of a smartphone screen showing an unsent message that reads '話したい', held by a hand, recipient field kept out of frame, anime style, key visual color grading, cinematic lighting"
CUT009,scene02.md,hand_insert,depth (optional),陽の指,"Fixed macro shot of a finger sliding slowly toward a delete button on a phone screen, anime style, key visual color grading, cinematic lighting"
CUT010,scene02.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽の指先,"Fixed extreme close-up of a fingertip frozen just above a delete button, phone screen glow only light source. Lock every element of composition. Animate only a very subtle tremor in the fingertip — no press, no camera movement, anime style, key visual color grading, cinematic lighting"
CUT011,scene02.md,character_pose_needed,openpose,陽（手と胸元）,"Fixed medium shot of a hand turning off a phone screen and lowering it toward a pocket, dusk rain-light ambience, anime style, key visual color grading, cinematic lighting"
CUT012,scene02.md,character_pose_needed,openpose,陽（背景、ボケ）,"Fixed low-angle shot of a small wooden sign reading '感情銀行' swaying gently in the wind above a shop entrance, warm lamp glow beneath it, a blurred figure in the background, anime style, key visual color grading, cinematic lighting"
CUT013,scene02.md,character_pose_needed,openpose,陽,"Fixed medium-long shot of the boy walking past a swaying shop sign toward an old storefront in the rain, anime style, key visual color grading, cinematic lighting"
CUT014,scene02.md,character_pose_needed,openpose,陽（反射像）,"Fixed shot through a rain-streaked shop window, reflection of the boy walking past, dark antique-shop display behind the glass, anime style, key visual color grading, rain-lit cinematic lighting"
CUT015,scene02.md,character_pose_needed,openpose,小面（反射のみ、輪郭だけ）,"Fixed shot on the same rain-streaked shop window reflection, anime style, key visual color grading, cinematic lighting"
CUT016,scene02.md,character_pose_needed,openpose,陽,"Fixed medium shot of the boy continuing to walk, unaware, toward the shop entrance, anime style, key visual color grading, cinematic lighting"
CUT017,scene02.md,character_pose_needed,openpose,陽,"Fixed long shot of the boy standing before an old wooden door with a brass handle, warm light leaking from the door's edges, anime style, key visual color grading, cinematic lighting"
CUT018,scene02.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽の手,"Fixed close-up of a hand reaching for a brass door handle, warm light reflecting off the metal, anime style, key visual color grading, cinematic lighting"
CUT019,scene02.md,character_pose_needed,openpose,陽（後ろ姿）,"Fixed medium shot from behind of the boy as the door opens, warm interior light spilling onto the wet blue-toned street, strong contrast between warm and cool light, anime style, key visual color grading, cinematic lighting"
CUT020,scene02.md,character_pose_needed,openpose,陽,"Fixed shot of the boy stepping across a threshold, frame split between cool blue rain outside and warm amber light inside, anime style, key visual color grading, cinematic lighting"
CUT021,scene02.md,character_pose_needed,openpose,陽（後ろ姿、店内へ進む）,"Fixed interior shot as the door closes behind the boy, revealing the warm emotion bank interior with a red sofa, brass lighting, and a chalkboard, anime style, key visual color grading, cinematic lighting"
CUT022,scene03.md,character_pose_needed,openpose,陽（後ろ姿→やや横顔）,"Fixed wide establishing shot of a warm antique-shop interior — red sofa, brass lighting, old counter, chalkboard, anime style, key visual color grading, cinematic lighting"
CUT023,scene03.md,object_insert_no_character,none (or depth for prop shape),なし,"Fixed static close-up insert of a chalkboard reading '本日の感情レート' and '追憶・低下中', warm brass light on the edges, anime style, key visual color grading, cinematic lighting"
CUT024,scene03.md,character_pose_needed,openpose,クラ（紫シャツ、雑誌）、陽（濡れた制服）,"Fixed master two-shot across an old counter: a man in a purple shirt reading a magazine upside down, a boy in a wet uniform standing near the entrance, anime style, key visual color grading, cinematic lighting"
CUT025,scene03.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed extreme close-up of a boy's throat swallowing once, soft warm rim light, background heavily blurred, anime style, key visual color grading, cinematic lighting"
CUT026,scene03.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face, three-quarter angle, warm blurred background, anime style, key visual color grading, cinematic lighting"
CUT027,scene03.md,face_closeup,none (use character LoRA + IP-Adapter face ref),クラ,"Fixed close-up on the man's face, faint knowing smile, warm background blur with a hint of purple, anime style, key visual color grading, cinematic lighting"
CUT028,scene03.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face, slightly furrowed brow, warm blurred background, anime style, key visual color grading, cinematic lighting"
CUT029,scene03.md,face_closeup,none (use character LoRA + IP-Adapter face ref),クラ,"Fixed close-up on the man's face as his playful smile fades slightly, warm blurred background, anime style, key visual color grading, cinematic lighting"
CUT030,scene03.md,hand_insert,depth (optional),クラの手,"Fixed insert shot of a hand pulling a device with a shifting rainbow-colored glow from beneath an old counter, warm ambient light, anime style, key visual color grading, cinematic lighting"
CUT031,scene03.md,character_pose_needed,openpose,クラ、陽,"Fixed master two-shot across the counter with the glowing device centered between the man and the boy, both eyelines aligned with the device, anime style, key visual color grading, cinematic lighting"
CUT032,scene03.md,hand_insert,depth (optional),陽の手,"Fixed insert of a hand pulling a folded photograph from a breast pocket of a wet school uniform, warm light, anime style, key visual color grading, cinematic lighting"
CUT033,scene03.md,character_pose_needed,openpose,写真内の陽と少女（少女の顔は不可視）,"Fixed macro insert of a creased photograph held in a hand: a rooftop scene with a boy and a long-haired girl, her face obscured by a fold and a rain stain, anime style, key visual color grading, cinematic lighting"
CUT034,scene03.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face looking down at something off-frame, warm blurred background, half-lit by soft backlight, anime style, key visual color grading, cinematic lighting"
CUT035,scene03.md,hand_insert,depth (optional),クラの手、陽の手,"Fixed insert of a photograph passing from one hand to another across a counter, warm light, anime style, key visual color grading, cinematic lighting"
CUT036,scene03.md,face_closeup,none (use character LoRA + IP-Adapter face ref),クラ,"Fixed close-up on the man's face, his usual playful tone dropping into sincerity, eyes steady and unwavering, warm blurred background, anime style, key visual color grading, cinematic lighting"
CUT037,scene03.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face, quietly resolute, warm blurred background, anime style, key visual color grading, cinematic lighting"
CUT038,scene03.md,character_pose_needed,openpose,クラ、陽,"Fixed master two-shot across the counter, both figures completely still, a deliberate held silence, anime style, key visual color grading, cinematic lighting"
CUT039,scene03.md,face_closeup,none (use character LoRA + IP-Adapter face ref),クラ,"Fixed close-up on the man's face, calm and matter-of-fact as he states the price, warm blurred background, anime style, key visual color grading, cinematic lighting"
CUT040,scene03.md,character_pose_needed,openpose,陽の目,"Fixed extreme close-up on the boy's eyes looking at something off-frame, a faint light catching in them, anime style, key visual color grading, cinematic lighting"
CUT041,scene03.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face delivering a quiet, final decision, warm blurred background, anime style, key visual color grading, cinematic lighting"
CUT042,scene03.md,face_closeup,none (use character LoRA + IP-Adapter face ref),クラの手と顔,"Fixed close-up on the man's hand and face as he receives the photograph and pauses for one beat, his fingers tightening almost imperceptibly, anime style, key visual color grading, cinematic lighting"
CUT043,scene03.md,character_pose_needed,openpose,写真（少女の輪郭）,"Fixed macro insert of a photograph held above a glowing device, the paper beginning to dissolve into light particles starting from the girl's outline, anime style, key visual color grading, cinematic lighting"
CUT044,scene03.md,character_pose_needed,openpose,写真（陽の笑顔）,"Fixed macro insert continuing the previous shot: the last remaining part of the photo, the boy's smiling face, slowly dissolving into light particles, anime style, key visual color grading, cinematic lighting"
CUT045,scene03.md,hand_insert,depth (optional),陽の手,"Fixed insert of a device screen displaying the text '感情預託契約' as a hand signs below it, anime style, key visual color grading, cinematic lighting"
CUT046,scene03.md,character_pose_needed,openpose,クラ、陽（ロングで見える）,"Fixed wide static shot of the shop interior, colors slowly desaturating over the duration of the shot, anime style, key visual color grading, cinematic lighting"
CUT047,scene03.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up of the boy placing a hand on his own chest, desaturated warm background, anime style, key visual color grading, cinematic lighting"
CUT048,scene03.md,face_closeup,none (use character LoRA + IP-Adapter face ref),クラ,"Fixed close-up on the man's face, deliberately not smiling, desaturated warm background, anime style, key visual color grading, cinematic lighting"
CUT049,scene03.md,character_pose_needed,openpose,陽、クラ（画面奥）,"Fixed master shot at a doorway threshold: the boy opening the door to a post-rain street outside while the man remains inside near the counter, warm interior light contrasting with soft post-rain exterior light, anime style, key visual color grading, rain-lit cinematic lighting"
CUT050,scene04.md,character_pose_needed,openpose,陽、クラスメイトたち（ボケ気味）,"Fixed wide shot of a bright morning classroom, soft daylight through the windows, students in soft focus, anime style, key visual color grading, cinematic lighting"
CUT051,scene04.md,character_pose_needed,openpose,友人A、友人B、陽,"Fixed medium shot of two classmates approaching a boy's desk in a morning classroom, anime style, key visual color grading, cinematic lighting"
CUT052,scene04.md,face_closeup,none (use character LoRA + IP-Adapter face ref),友人A,"Fixed close-up on a smiling classmate's face in soft morning light, blurred classroom background, anime style, key visual color grading, cinematic lighting"
CUT053,scene04.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's slightly puzzled face, soft morning light, blurred background, anime style, key visual color grading, cinematic lighting"
CUT054,scene04.md,character_pose_needed,openpose,友人A、友人B,"Fixed two-shot of two classmates exchanging a brief uncertain glance with each other, anime style, key visual color grading, cinematic lighting"
CUT055,scene04.md,face_closeup,none (use character LoRA + IP-Adapter face ref),友人B,"Fixed close-up on a classmate's face giving an evasive half-smile, soft blurred background, anime style, key visual color grading, cinematic lighting"
CUT056,scene04.md,character_pose_needed,openpose,陽（フレーム端）,"Fixed medium shot revealing an empty desk beside the boy in the classroom, soft morning light, slightly deeper shadow around the empty seat, anime style, key visual color grading, cinematic lighting"
CUT057,scene04.md,object_insert_no_character,none (or depth for prop shape),なし,"Fixed close-up insert of a mint-green strap hanging from the side of an empty desk, soft classroom light, the mint color reading slightly more saturated than everything around it, anime style, key visual color grading, cinematic lighting"
CUT058,scene04.md,object_insert_no_character,none (or depth for prop shape),なし,"Fixed static close-up insert looking into a completely empty desk compartment — no books, no name tag, nothing, anime style, key visual color grading, cinematic lighting"
CUT059,scene04.md,face_closeup,none (use character LoRA + IP-Adapter face ref),友人A,"Fixed close-up on a classmate's face growing quietly confused by his own words mid-sentence, soft blurred background, anime style, key visual color grading, cinematic lighting"
CUT060,scene04.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy slowly turning his gaze toward the empty seat beside him, soft morning light, anime style, key visual color grading, cinematic lighting"
CUT061,scene04.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up held on the boy's blank, unaware expression as he looks at the empty seat and remembers nothing, soft morning light, anime style, key visual color grading, cinematic lighting"
CUT062,scene05.md,character_pose_needed,openpose,なし（部屋のみ）,"Fixed wide shot of a boy's bedroom at dusk, warm orange light through the window, a photo frame visible on the desk, anime style, key visual color grading, cinematic lighting"
CUT063,scene05.md,character_pose_needed,openpose,写真内の陽,"Fixed close-up insert of a photo frame on a desk showing only a boy, with an unnaturally empty space on the right side, warm dusk light reflecting off the frame's glass, anime style, key visual color grading, cinematic lighting"
CUT064,scene05.md,character_pose_needed,openpose,写真内の陽の肩,"Fixed macro insert on the photo's blank right side and the boy's shoulder leaning toward the empty space, warm light, anime style, key visual color grading, cinematic lighting"
CUT065,scene05.md,character_pose_needed,openpose,陽,"Fixed medium shot of the boy sitting at his desk in the warm dusk light, quietly occupied, anime style, key visual color grading, cinematic lighting"
CUT066,scene05.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face listening to an offscreen voice, warm blurred background, anime style, key visual color grading, cinematic lighting"
CUT067,scene05.md,character_pose_needed,openpose,陽,"Fixed medium shot of the boy turning around in his chair toward the doorway, warm dusk light, anime style, key visual color grading, cinematic lighting"
CUT068,scene05.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's genuinely puzzled face, warm blurred background, anime style, key visual color grading, cinematic lighting"
CUT069,scene05.md,character_pose_needed,openpose,母,"Fixed medium shot of the mother standing in the doorway, a look of confusion crossing her face, warm dusk light against the cooler hallway behind her, anime style, key visual color grading, cinematic lighting"
CUT070,scene05.md,face_closeup,none (use character LoRA + IP-Adapter face ref),母,"Fixed close-up on the mother's face as she quietly doubts her own memory, warm blurred background, anime style, key visual color grading, cinematic lighting"
CUT071,scene05.md,character_pose_needed,openpose,母,"Fixed medium shot of the mother's back as she walks away down the hallway, light shifting from warm to cool, anime style, key visual color grading, cinematic lighting"
CUT072,scene05.md,hand_insert,depth (optional),陽の手,"Fixed macro insert of a finger slowly tracing the empty blank space on a photograph, warm dusk light, anime style, key visual color grading, cinematic lighting"
CUT073,scene06.md,character_pose_needed,openpose,栞（逆光シルエット、顔は見えない）、陽（後ろ姿）,"Fixed wide shot: a boy seen from behind in the foreground, watching a long-haired girl in silhouette standing by a rooftop fence against a sunset sky, strong backlight, her face not visible, anime style, key visual color grading, cinematic lighting"
CUT074,scene06.md,character_pose_needed,openpose,陽（肩、後頭部）、栞（逆光シルエット）,"Fixed over-the-shoulder shot from behind the boy, looking toward the silhouetted girl by the fence, sunset backlight, anime style, key visual color grading, cinematic lighting"
CUT075,scene06.md,face_closeup,none (use character LoRA + IP-Adapter face ref),栞（髪のみ）,"Fixed close-up on long hair backlit by a sunset, strands moving in the wind, anime style, key visual color grading, cinematic lighting"
CUT076,scene06.md,hand_insert,depth (optional),栞の手,"Fixed macro insert of a hand holding a mint-green bookmark, the pinky finger aligning its corner twice in a small precise gesture, sunset backlight, anime style, key visual color grading, cinematic lighting"
CUT077,scene06.md,character_pose_needed,openpose,栞,"Fixed medium shot of the girl's silhouette against the sunset, speaking softly, anime style, key visual color grading, cinematic lighting"
CUT078,scene06.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face reacting silently to what he just heard, sunset light behind him, no dialogue yet, anime style, key visual color grading, cinematic lighting"
CUT079,scene06.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face in the dream, sunset light behind him, calling out, anime style, key visual color grading, cinematic lighting"
CUT080,scene06.md,character_pose_needed,openpose,陽,"Fixed medium shot of the boy leaning forward as if to run but unable to move, sunset backlight, anime style, key visual color grading, cinematic lighting"
CUT081,scene06.md,character_pose_needed,openpose,陽の足,"Fixed insert of the boy's feet on the rooftop floor, straining but rooted in place, anime style, key visual color grading, cinematic lighting"
CUT082,scene06.md,hand_insert,depth (optional),陽の手,"Fixed insert of the boy's hand reaching out into empty air, sunset light, anime style, key visual color grading, cinematic lighting"
CUT083,scene06.md,character_pose_needed,openpose,栞（消えていく）,"Fixed wide shot of the sunset sky slowly bleaching to white while the girl's silhouette fades away, anime style, key visual color grading, cinematic lighting"
CUT084,scene06.md,character_pose_needed,openpose,陽（一人）,"Fixed medium shot of the boy standing alone as the rooftop scene continues bleaching toward white, the girl now gone, anime style, key visual color grading, cinematic lighting"
CUT085,scene06.md,environment_only,none,なし,"Fixed full white frame, completely static, anime style, key visual color grading, cinematic lighting"
CUT086,scene07.md,character_pose_needed,openpose,陽,"Fixed medium shot of the boy waking abruptly and sitting up in bed at night, cool moonlight, anime style, key visual color grading, cinematic lighting"
CUT087,scene07.md,object_insert_no_character,none (or depth for prop shape),なし,"Fixed close-up insert of a clock reading 2:00 AM, cool moonlight, anime style, key visual color grading, cinematic lighting"
CUT088,scene07.md,object_insert_no_character,none (or depth for prop shape),なし,"Fixed static close-up insert of a mint-green bookmark at the edge of a desk, its back side blank, cool moonlight, anime style, key visual color grading, cinematic lighting"
CUT089,scene07.md,hand_insert,depth (optional),陽の手,"Fixed close-up insert of a hand reaching toward and touching a mint-green bookmark on a desk, cool moonlight, anime style, key visual color grading, cinematic lighting"
CUT090,scene07.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face reacting with a startled, inexplicable feeling as if hearing a brief laugh, cool moonlight, blurred background, anime style, key visual color grading, cinematic lighting"
CUT091,scene07.md,hand_insert,depth (optional),陽の手,"Fixed macro insert of a hand unconsciously performing the exact same two-tap pinky gesture on a bookmark's corner as seen earlier in the dream, anime style, key visual color grading, cinematic lighting"
CUT092,scene07.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy looking down at his own fingers in quiet disbelief, cool moonlight, anime style, key visual color grading, cinematic lighting"
CUT093,scene07.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up held on the boy clutching the bookmark tightly, staring into the dark room, cool moonlight only, anime style, key visual color grading, cinematic lighting"
CUT094,scene08.md,character_pose_needed,openpose,陽（小さく）,"Fixed wide shot of a quiet school library in soft daylight, a boy walking between the shelves, anime style, key visual color grading, cinematic lighting"
CUT095,scene08.md,object_insert_no_character,none (or depth for prop shape),なし,"Fixed static macro insert of a library lending card, the boy's name printed clearly with a smudged blank space beside it where another name should be, soft daylight, anime style, key visual color grading, cinematic lighting"
CUT096,scene08.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy staring intently at the card in his hand, soft daylight, blurred library background, anime style, key visual color grading, cinematic lighting"
CUT097,scene08.md,character_pose_needed,openpose,陽,"Fixed wide shot of a school rooftop in plain daytime light (deliberately not sunset, to contrast with the earlier dream), a boy walking in, anime style, key visual color grading, cinematic lighting"
CUT098,scene08.md,object_insert_no_character,none (or depth for prop shape),なし,"Fixed static close-up insert of two faint ring-shaped stains on the rooftop floor, left by two canned drinks, plain daylight, anime style, key visual color grading, cinematic lighting"
CUT099,scene08.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy looking down at the two stains, plain daylight, blurred rooftop background, anime style, key visual color grading, cinematic lighting"
CUT100,scene08.md,character_pose_needed,openpose,陽,"Fixed wide shot of an umbrella stand in a school hallway, plain daylight, the boy approaching, anime style, key visual color grading, cinematic lighting"
CUT101,scene08.md,object_insert_no_character,none (or depth for prop shape),なし,"Fixed static close-up insert of an umbrella stand: a single transparent umbrella with one empty umbrella-width gap beside it, plain daylight, anime style, key visual color grading, cinematic lighting"
CUT102,scene08.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽の手,"Fixed close-up insert of the boy's hand gripping a bookmark inside his pocket, plain daylight, blurred hallway background, anime style, key visual color grading, cinematic lighting"
CUT103,scene08.md,character_pose_needed,openpose,陽,"Medium shot of the boy beginning to walk forward with new resolve down a school hallway toward bright exit light, camera performing only a very slow, minimal forward dolly, anime style, key visual color grading, cinematic lighting"
CUT104,scene09.md,character_pose_needed,openpose,陽（小さく、人混みの中）、群衆（静止画中心）,"Fixed wide shot of a busy station plaza at dusk, mostly static silhouetted crowd, one boy weaving through them, anime style, key visual color grading, cinematic lighting"
CUT105,scene09.md,character_pose_needed,openpose,陽,"Fixed medium shot of the boy walking through a blurred crowd, scanning left and right, anime style, key visual color grading, cinematic lighting"
